"GEO_ID","NAME","B06009_001E","B06009_001M","B06009_002E","B06009_002M","B06009_003E","B06009_003M","B06009_004E","B06009_004M","B06009_005E","B06009_005M","B06009_006E","B06009_006M","B06009_007E","B06009_007M","B06009_008E","B06009_008M","B06009_009E","B06009_009M","B06009_010E","B06009_010M","B06009_011E","B06009_011M","B06009_012E","B06009_012M","B06009_013E","B06009_013M","B06009_014E","B06009_014M","B06009_015E","B06009_015M","B06009_016E","B06009_016M","B06009_017E","B06009_017M","B06009_018E","B06009_018M","B06009_019E","B06009_019M","B06009_020E","B06009_020M","B06009_021E","B06009_021M","B06009_022E","B06009_022M","B06009_023E","B06009_023M","B06009_024E","B06009_024M","B06009_025E","B06009_025M","B06009_026E","B06009_026M","B06009_027E","B06009_027M","B06009_028E","B06009_028M","B06009_029E","B06009_029M","B06009_030E","B06009_030M",
"0500000US12105","Polk County, Florida","545515","356","65141","6255","185941","8452","170987","7798","84782","5573","38664","3753","158135","7588","16599","2335","63745","5815","47806","4601","21231","2861","8754","1693","248575","7954","19029","3101","79781","4627","85947","5674","42148","4153","21670","2776","53369","5186","7035","1918","18026","3726","17780","3560","7257","1857","3271","1203","85436","7338","22478","4491","24389","4322","19454","2977","14146","2520","4969","2003",
"0500000US12107","Putnam County, Florida","54455","654","8132","1529","22777","2337","14557","1879","6515","1582","2474","955","28104","2131","4044","1188","13279","1883","6910","1376","2951","1070","920","511","22151","2014","2620","899","8605","1757","6472","1263","3056","973","1398","747","1231","699","353","343","147","192","731","572","0","239","0","239","2969","912","1115","561","746","589","444","295","508","553","156","82",
"0500000US12109","St. Johns County, Florida","220932","1136","10281","2071","38523","3669","55805","4222","73415","4576","42908","3897","48935","4193","3846","1261","11893","2517","11658","2307","13796","2662","7742","1665","141304","4821","4005","1381","22833","3110","35374","4021","51378","4949","27714","3401","4985","2091","873","1081","648","623","1093","663","1411","912","960","631","25708","3876","1557","875","3149","1006","7680","2344","6830","1973","6492","1959",
"0500000US12111","St. Lucie County, Florida","262047","1148","26706","3976","79762","4752","85991","4971","44268","3720","25320","3415","59887","4912","7071","2201","19318","3496","20511","3215","8020","1873","4967","1685","134677","5646","8540","2358","40541","4156","47252","4868","24410","2643","13934","2414","9252","2350","1114","510","2691","1180","3172","1312","1643","1007","632","536","58231","5470","9981","2719","17212","2942","15056","2421","10195","2363","5787","1558",
"0500000US12113","Santa Rosa County, Florida","139888","1085","8677","1739","38176","2946","50718","3944","26889","2976","15428","2109","38085","3846","3290","1035","12635","2012","12934","2114","6060","1343","3166","1223","90683","4528","4122","1315","22990","2690","34668","3974","19024","2665","9879","1514","3202","1094","54","85","435","298","1609","934","535","386","569","408","7918","1675","1211","630","2116","923","1507","662","1270","628","1814","928",
"0500000US12115","Sarasota County, Florida","372225","812","21386","2611","97596","5700","101877","5163","86559","5341","64807","4161","44805","4010","3152","980","14801","2109","13125","2156","9756","2136","3971","1123","263403","4910","9220","1644","67076","4988","73699","4353","64573","4635","48835","3752","6585","1510","573","532","1775","567","2041","834","763","390","1433","671","57432","4200","8441","1942","13944","2417","13012","2240","11467","2101","10568","1923",
"0500000US12117","Seminole County, Florida","341302","574","22877","3527","74881","5560","105662","5730","88783","5155","49099","3461","77841","5164","6716","1672","16313","3009","25706","3282","19354","2743","9752","1679","174134","7217","7102","2103","39049","3566","56875","4497","45502","4558","25606","2902","19375","2947","996","677","5136","1325","6384","1591","4059","1410","2800","894","69952","6259","8063","2132","14383","2710","16697","3252","19868","2888","10941","1999",
"0500000US12119","Sumter County, Florida","130872","1432","8689","1391","33740","3649","38761","3882","31306","3726","18376","2624","18232","2604","3676","1064","5331","1646","4776","1326","3566","1905","883","593","102214","3057","3648","1009","26565","3359","30513","3258","24875","2941","16613","2463","2128","984","166","170","425","366","761","605","776","621","0","239","8298","2079","1199","461","1419","787","2711","1174","2089","1352","880","555",
"0500000US12127","Volusia County, Florida","431403","369","33693","4425","131104","7514","147222","5881","75845","4515","43539","4032","99038","5552","8069","1979","32413","4390","33608","3862","16288","2529","8660","1999","270530","5824","15784","2668","80292","5855","97071","5676","48568","3698","28815","3082","20109","2764","3773","1320","5872","1369","6049","1502","3306","1098","1109","551","41726","3965","6067","1362","12527","2163","10494","1924","7683","2110","4955","1380",
"0500000US12131","Walton County, Florida","61295","389","5110","1237","17561","2435","18751","2142","13682","1622","6191","1109","18786","2141","2481","900","7021","1496","5456","1465","2434","863","1394","719","35531","2297","1833","664","8426","1658","11222","1773","9645","1478","4405","783","1278","610","0","239","346","250","698","515","176","166","58","98","5700","1357","796","555","1768","929","1375","637","1427","900","334","284",
"0500000US13013","Barrow County, Georgia","59170","842","7210","1495","19631","1913","18941","2528","10059","2199","3329","1188","25081","2140","2265","848","9879","1594","8978","1787","3071","1244","888","430","25164","2671","2077","728","7187","1511","8495","1774","5971","1720","1434","741","1010","605","256","296","275","256","267","251","191","247","21","38","7915","1608","2612","1120","2290","690","1201","609","826","533","986","810",
"0500000US13015","Bartow County, Georgia","77686","1121","10223","2256","26465","2236","22996","2994","12645","2113","5357","1363","41825","2508","6086","1687","15699","1891","11993","1928","5412","1555","2635","880","29121","2871","1962","709","9744","1700","9685","2180","6050","1436","1680","583","1024","553","263","410","235","222","155","160","159","189","212","215","5716","1234","1912","816","787","426","1163","469","1024","631","830","550",
"0500000US13021","Bibb County, Georgia","103347","826","12962","2074","33983","3062","30154","3063","13751","2267","12497","2049","72726","3169","10053","1771","26343","3008","20501","2756","7940","1957","7889","1657","25705","3104","2079","891","6539","1704","8132","1566","5334","1282","3621","925","1230","899","103","197","0","228","835","862","233","234","59","105","3686","1255","727","436","1101","942","686","646","244","351","928","637",
"0500000US13031","Bulloch County, Georgia","45609","1586","4638","1194","12787","1858","13964","1735","7918","1422","6302","1497","29145","2569","2864","1043","8694","1399","9927","1709","5255","1214","2405","910","13753","2055","1035","579","3735","1197","3381","951","2050","642","3552","1257","853","448","95","164","96","143","362","265","136","143","164","211","1858","696","644","410","262","183","294","293","477","292","181","281",
"0500000US13045","Carroll County, Georgia","78942","1370","11175","2335","26010","2392","23230","2825","11636","1895","6891","1575","47943","2730","7317","1710","17324","2291","14120","2248","6454","1367","2728","855","24873","2866","1795","869","7592","1540","7835","1514","4285","1304","3366","1392","557","533","171","290","14","24","173","230","79","156","120","149","5569","1386","1892","1157","1080","726","1102","590","818","598","677","396",
"0500000US13047","Catoosa County, Georgia","48886","186","6603","1705","13642","1585","16580","2216","6513","1410","5548","1414","14967","2259","2675","1144","5383","1311","4177","1181","2102","946","630","577","32480","2288","3437","1104","8185","1346","12019","2185","4149","1199","4690","1181","368","274","0","228","0","228","302","265","66","118","0","228","1071","713","491","587","74","127","82","129","196","253","228","252",
"0500000US13051","Chatham County, Georgia","207102","399","18472","3256","51345","4218","63572","4263","41695","3819","32018","2579","93905","4369","10146","2187","30004","3636","28999","3464","14977","2429","9779","1998","90793","4322","5456","1623","15956","2276","29188","3051","22341","2973","17852","2376","3946","1061","92","132","1916","789","789","445","484","260","665","372","18458","2575","2778","1251","3469","1289","4596","1222","3893","1291","3722","1507",
"0500000US13057","Cherokee County, Georgia","194601","752","13298","2202","45714","3631","54800","3586","53635","3553","27154","3004","65440","4512","5497","1435","16961","2480","19786","2556","14968","1900","8228","1917","104452","4284","2545","842","22663","2693","29215","3085","33582","2944","16447","2311","2533","944","198","254","843","698","823","548","371","309","298","273","22176","2369","5058","1409","5247","1347","4976","1287","4714","1174","2181","773",
"0500000US13059","Clarke County, Georgia","73843","1327","7663","1585","15191","2298","17390","2163","17291","2175","16308","2243","32795","2750","4078","1193","8798","1880","9009","1978","6036","1367","4874","980","32074","2682","973","878","4369","1443","7285","1365","10412","1662","9035","1727","446","336","0","228","80","131","215","270","44","77","107","120","8528","1175","2612","931","1944","886","881","527","799","405","2292","856",
"0500000US13063","Clayton County, Georgia","187870","945","26518","3823","61470","4538","56947","5037","28031","4325","14904","2518","78186","5296","9214","2319","32265","3475","19835","2524","11449","2666","5423","1740","69708","5174","3134","1235","20026","2757","28390","4182","12366","2554","5792","1826","2083","1076","0","228","702","527","763","792","150","191","468","325","37893","3406","14170","2773","8477","2127","7959","2260","4066","1266","3221","1072",
"0500000US13067","Cobb County, Georgia","528777","55","33727","4151","88797","5363","133831","5853","171063","6227","101359","4707","135287","5809","7461","1759","28800","3143","34313","3659","44378","3540","20335","2500","276300","7661","7212","1829","37707","3946","77103","4779","96042","4954","58236","4121","8720","1878","174","195","1587","711","1865","621","2917","942","2177","951","108470","6524","18880","2997","20703","3037","20550","2959","27726","3591","20611","3196",
"0500000US13073","Columbia County, Georgia","110160","1166","7519","2029","24485","2935","36893","3644","22190","3100","19073","2914","39619","4107","3799","1349","10380","2111","12806","3194","5870","1609","6764","2257","56147","3997","2255","1129","10813","2102","20710","3283","13336","2382","9033","1940","4080","1433","99","163","1530","953","1091","707","771","508","589","362","10314","2235","1366","790","1762","753","2286","1152","2213","768","2687","1626",
"0500000US13077","Coweta County, Georgia","105024","1356","8586","1863","23906","3219","35111","3511","23432","2603","13989","2271","47094","3613","3987","1382","12493","2499","17464","3163","8623","1818","4527","1240","47837","3144","1888","824","9317","1866","15650","2129","13059","1916","7923","1726","2425","1002","191","266","439","417","925","653","355","260","515","536","7668","2019","2520","1599","1657","839","1072","615","1395","935","1024","700",
"0500000US13089","DeKalb County, Georgia","527161","264","46011","4001","112002","7379","124885","5969","134222","5159","110041","6052","187154","8455","14600","2476","53895","4780","52396","5023","41577","4182","24686","3109","229603","9175","10197","2713","35050","4684","51391","4277","68656","3955","64309","4803","7919","1929","146","174","1840","1145","2309","863","2260","789","1364","629","102485","7226","21068","2833","21217","3532","18789","3204","21729","3704","19682","2712",
"0500000US13095","Dougherty County, Georgia","54764","874","6222","1441","15663","2207","19640","2228","6181","1439","7058","1747","39593","1971","4966","1291","11584","2159","14305","2079","3313","1045","5425","1499","12829","1754","648","422","3548","964","4673","1110","2645","924","1315","783","346","314","30","55","157","232","28","46","62","99","69","141","1996","607","578","328","374","342","634","388","161","224","249","251",
"0500000US13097","Douglas County, Georgia","96016","941","7051","1586","31995","3540","29004","2827","15028","2382","12938","2030","34391","3310","2464","981","13113","2373","10765","1806","5395","1619","2654","1028","47645","4178","1724","814","14409","2792","15804","2454","7825","1703","7883","1703","1111","579","0","228","222","241","333","278","352","304","204","225","12869","3094","2863","1227","4251","1737","2102","1462","1456","968","2197","1119",
"0500000US13103","Effingham County, Georgia","45816","1132","5627","1359","11209","1607","17358","1827","7541","1457","4081","1047","21874","2484","2979","1018","6638","1179","6633","1277","3699","1156","1925","830","20628","2522","1895","686","3696","948","9436","1776","3642","1093","1959","739","1056","630","0","228","354","278","669","556","0","228","33","59","2258","1003","753","569","521","440","620","435","200","184","164","167",
"0500000US13113","Fayette County, Georgia","83439","939","3969","1275","16767","2266","22328","2260","23816","2418","16559","2421","23910","2807","743","488","7997","1952","7287","1693","4902","1231","2981","939","46186","3314","1345","766","5944","1196","12989","1695","15664","2124","10244","2089","1374","548","0","228","423","341","295","339","176","157","480","349","11969","1879","1881","959","2403","889","1757","747","3074","1211","2854","932",
"0500000US13115","Floyd County, Georgia","65652","764","9605","2034","22190","2266","18062","1989","8696","1538","7099","1599","41110","1880","4985","1313","15257","1896","11686","1612","4556","1256","4626","1277","18547","2023","1987","836","4344","1056","5940","1407","3926","1068","2350","734","506","351","141","224","91","105","165","172","68","121","41","72","5489","805","2492","939","2498","901","271","201","146","166","82","110",
"0500000US13117","Forsyth County, Georgia","177175","1293","8315","1807","28787","3967","39238","3218","58405","4131","42430","3334","43021","4305","2844","944","12630","3609","11144","1797","10506","1907","5897","1403","82594","3986","1733","785","11302","2045","22748","2542","29620","2974","17191","2472","2216","1158","103","123","0","228","372","449","978","569","763","589","49344","3811","3635","1534","4855","1492","4974","1263","17301","2906","18579","2641",
"0500000US13121","Fulton County, Georgia","744974","167","42957","5036","114139","7203","154664","7574","250848","8198","182366","7140","233962","9742","19933","3259","55230","5116","56252","5527","60720","5415","41827","4565","371913","9440","10643","2714","39824","4158","78045","5508","142995","6364","100406","5592","15148","2456","75","93","2174","1181","3630","1326","5527","1362","3742","1122","123951","5776","12306","2464","16911","2841","16737","2748","41606","3682","36391","3092",
"0500000US13127","Glynn County, Georgia","61231","1107","5870","1657","19532","3023","15955","2567","12060","1855","7814","1420","28344","2679","2801","973","11131","2271","7856","1994","4100","1213","2456","722","26239","2390","2013","1226","6247","1607","7102","1433","6632","1283","4245","904","1295","666","56","95","431","506","300","260","226","229","282","256","5353","1330","1000","614","1723","890","697","451","1102","715","831","559",
"0500000US13135","Gwinnett County, Georgia","630083","172","68265","5090","145227","7093","172177","6745","157306","6270","87108","5355","137062","6615","8824","1600","36432","4001","42165","3937","36089","3516","13552","1786","244419","7386","8264","1688","48031","4275","77028","5021","69225","4388","41871","3506","17228","2843","1493","765","3866","1149","5390","1299","4517","1319","1962","709","231374","6611","49684","4364","56898","4018","47594","3928","47475","3892","29723","3392",
"0500000US13139","Hall County, Georgia","140044","1238","26877","3225","36131","3112","34460","3014","25785","2531","16791","1827","57741","3568","8168","1835","18196","2413","14346","1804","11523","1823","5508","1263","49795","4270","3731","1244","10874","2325","14805","2256","10797","1492","9588","1614","1603","756","323","308","294","253","562","342","303","335","121","146","30905","2134","14655","2159","6767","1643","4747","1522","3162","1070","1574","634",
"0500000US13151","Henry County, Georgia","162471","741","9456","1643","48584","3636","57983","3704","30596","3599","15852","2214","66612","4109","3529","1068","22904","2808","25595","2892","10111","2057","4473","1567","72542","4096","2449","963","19871","2742","26559","3314","15075","2241","8588","1633","3649","1434","251","376","831","629","1520","885","604","399","443","331","19668","2856","3227","872","4978","1622","4309","1219","4806","1661","2348","808",
